subject,signal_abnormality_sec,severe_artifacts_sec,artifact_total_sec
01,0,0,0
02,0,0,0
03,0,0,0
04,0,0,0
05,0,3943,3943
06,0,0,0
07,0,0,0
08,0,0,0
09,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,206,206
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,593,0,593
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,35,35
46,0,0,0
47,0,3300,3300
48,0,0,0
49,0,0,0
50,0,0,0
