subject,channel_index,channel,in_paper_analytical_28
01,0,Fp1,True
01,1,Fz,False
01,2,F3,True
01,3,F7,True
01,4,FT9,True
01,5,FC5,True
01,6,FC1,True
01,7,C3,True
01,8,T7,True
01,9,TP9,True
01,10,CP5,True
01,11,CP1,True
01,12,Pz,False
01,13,P3,True
01,14,P7,True
01,15,O1,True
01,16,Oz,False
01,17,O2,True
01,18,P4,True
01,19,P8,True
01,20,TP10,True
01,21,CP6,True
01,22,CP2,True
01,23,Cz,False
01,24,C4,True
01,25,T8,True
01,26,FT10,True
01,27,FC6,True
01,28,FC2,True
01,29,F4,True
01,30,F8,True
01,31,Fp2,True
02,0,Fp1,True
02,1,Fz,False
02,2,F3,True
02,3,F7,True
02,4,FT9,True
02,5,FC5,True
02,6,FC1,True
02,7,C3,True
02,8,T7,True
02,9,TP9,True
02,10,CP5,True
02,11,CP1,True
02,12,Pz,False
02,13,P3,True
02,14,P7,True
02,15,O1,True
02,16,Oz,False
02,17,O2,True
02,18,P4,True
02,19,P8,True
02,20,TP10,True
02,21,CP6,True
02,22,CP2,True
02,23,Cz,False
02,24,C4,True
02,25,T8,True
02,26,FT10,True
02,27,FC6,True
02,28,FC2,True
02,29,F4,True
02,30,F8,True
02,31,Fp2,True
03,0,Fp1,True
03,1,Fz,False
03,2,F3,True
03,3,F7,True
03,4,FT9,True
03,5,FC5,True
03,6,FC1,True
03,7,C3,True
03,8,T7,True
03,9,TP9,True
03,10,CP5,True
03,11,CP1,True
03,12,Pz,False
03,13,P3,True
03,14,P7,True
03,15,O1,True
03,16,Oz,False
03,17,O2,True
03,18,P4,True
03,19,P8,True
03,20,TP10,True
03,21,CP6,True
03,22,CP2,True
03,23,Cz,False
03,24,C4,True
03,25,T8,True
03,26,FT10,True
03,27,FC6,True
03,28,FC2,True
03,29,F4,True
03,30,F8,True
03,31,Fp2,True
04,0,Fp1,True
04,1,Fz,False
04,2,F3,True
04,3,F7,True
04,4,FT9,True
04,5,FC5,True
04,6,FC1,True
04,7,C3,True
04,8,T7,True
04,9,TP9,True
04,10,CP5,True
04,11,CP1,True
04,12,Pz,False
04,13,P3,True
04,14,P7,True
04,15,O1,True
04,16,Oz,False
04,17,O2,True
04,18,P4,True
04,19,P8,True
04,20,TP10,True
04,21,CP6,True
04,22,CP2,True
04,23,Cz,False
04,24,C4,True
04,25,T8,True
04,26,FT10,True
04,27,FC6,True
04,28,FC2,True
04,29,F4,True
04,30,F8,True
04,31,Fp2,True
05,0,Fp1,True
05,1,Fz,False
05,2,F3,True
05,3,F7,True
05,4,FT9,True
05,5,FC5,True
05,6,FC1,True
05,7,C3,True
05,8,T7,True
05,9,TP9,True
05,10,CP5,True
05,11,CP1,True
05,12,Pz,False
05,13,P3,True
05,14,P7,True
05,15,O1,True
05,16,Oz,False
05,17,O2,True
05,18,P4,True
05,19,P8,True
05,20,TP10,True
05,21,CP6,True
05,22,CP2,True
05,23,Cz,False
05,24,C4,True
05,25,T8,True
05,26,FT10,True
05,27,FC6,True
05,28,FC2,True
05,29,F4,True
05,30,F8,True
05,31,Fp2,True
06,0,Fp1,True
06,1,Fz,False
06,2,F3,True
06,3,F7,True
06,4,FT9,True
06,5,FC5,True
06,6,FC1,True
06,7,C3,True
06,8,T7,True
06,9,TP9,True
06,10,CP5,True
06,11,CP1,True
06,12,Pz,False
06,13,P3,True
06,14,P7,True
06,15,O1,True
06,16,Oz,False
06,17,O2,True
06,18,P4,True
06,19,P8,True
06,20,TP10,True
06,21,CP6,True
06,22,CP2,True
06,23,Cz,False
06,24,C4,True
06,25,T8,True
06,26,FT10,True
06,27,FC6,True
06,28,FC2,True
06,29,F4,True
06,30,F8,True
06,31,Fp2,True
07,0,Fp1,True
07,1,Fz,False
07,2,F3,True
07,3,F7,True
07,4,FT9,True
07,5,FC5,True
07,6,FC1,True
07,7,C3,True
07,8,T7,True
07,9,TP9,True
07,10,CP5,True
07,11,CP1,True
07,12,Pz,False
07,13,P3,True
07,14,P7,True
07,15,O1,True
07,16,Oz,False
07,17,O2,True
07,18,P4,True
07,19,P8,True
07,20,TP10,True
07,21,CP6,True
07,22,CP2,True
07,23,Cz,False
07,24,C4,True
07,25,T8,True
07,26,FT10,True
07,27,FC6,True
07,28,FC2,True
07,29,F4,True
07,30,F8,True
07,31,Fp2,True
08,0,Fp1,True
08,1,Fz,False
08,2,F3,True
08,3,F7,True
08,4,FT9,True
08,5,FC5,True
08,6,FC1,True
08,7,C3,True
08,8,T7,True
08,9,TP9,True
08,10,CP5,True
08,11,CP1,True
08,12,Pz,False
08,13,P3,True
08,14,P7,True
08,15,O1,True
08,16,Oz,False
08,17,O2,True
08,18,P4,True
08,19,P8,True
08,20,TP10,True
08,21,CP6,True
08,22,CP2,True
08,23,Cz,False
08,24,C4,True
08,25,T8,True
08,26,FT10,True
08,27,FC6,True
08,28,FC2,True
08,29,F4,True
08,30,F8,True
08,31,Fp2,True
09,0,Fp1,True
09,1,Fz,False
09,2,F3,True
09,3,F7,True
09,4,FT9,True
09,5,FC5,True
09,6,FC1,True
09,7,C3,True
09,8,T7,True
09,9,TP9,True
09,10,CP5,True
09,11,CP1,True
09,12,Pz,False
09,13,P3,True
09,14,P7,True
09,15,O1,True
09,16,Oz,False
09,17,O2,True
09,18,P4,True
09,19,P8,True
09,20,TP10,True
09,21,CP6,True
09,22,CP2,True
09,23,Cz,False
09,24,C4,True
09,25,T8,True
09,26,FT10,True
09,27,FC6,True
09,28,FC2,True
09,29,F4,True
09,30,F8,True
09,31,Fp2,True
10,0,Fp1,True
10,1,Fz,False
10,2,F3,True
10,3,F7,True
10,4,FT9,True
10,5,FC5,True
10,6,FC1,True
10,7,C3,True
10,8,T7,True
10,9,TP9,True
10,10,CP5,True
10,11,CP1,True
10,12,Pz,False
10,13,P3,True
10,14,P7,True
10,15,O1,True
10,16,Oz,False
10,17,O2,True
10,18,P4,True
10,19,P8,True
10,20,TP10,True
10,21,CP6,True
10,22,CP2,True
10,23,Cz,False
10,24,C4,True
10,25,T8,True
10,26,FT10,True
10,27,FC6,True
10,28,FC2,True
10,29,F4,True
10,30,F8,True
10,31,Fp2,True
11,0,Fp1,True
11,1,Fz,False
11,2,F3,True
11,3,F7,True
11,4,FT9,True
