subject,label,label_name,normalized_118min_seconds
01,0,Wakefulness,6434
01,1,Fatigue1,646
01,2,Fatigue2,0
01,3,Fatigue3,0
01,4,Fatigue4,0
01,8,Signal Abnormality,0
01,9,Severe Artifacts,0
02,0,Wakefulness,4727
02,1,Fatigue1,1931
02,2,Fatigue2,422
02,3,Fatigue3,0
02,4,Fatigue4,0
02,8,Signal Abnormality,0
02,9,Severe Artifacts,0
03,0,Wakefulness,6326
03,1,Fatigue1,754
03,2,Fatigue2,0
03,3,Fatigue3,0
03,4,Fatigue4,0
03,8,Signal Abnormality,0
03,9,Severe Artifacts,0
04,0,Wakefulness,2155
04,1,Fatigue1,2365
04,2,Fatigue2,2403
04,3,Fatigue3,157
04,4,Fatigue4,0
04,8,Signal Abnormality,0
04,9,Severe Artifacts,0
05,0,Wakefulness,1314
05,1,Fatigue1,1884
05,2,Fatigue2,0
05,3,Fatigue3,0
05,4,Fatigue4,0
05,8,Signal Abnormality,0
05,9,Severe Artifacts,3882
06,0,Wakefulness,5556
06,1,Fatigue1,1464
06,2,Fatigue2,60
06,3,Fatigue3,0
06,4,Fatigue4,0
06,8,Signal Abnormality,0
06,9,Severe Artifacts,0
07,0,Wakefulness,6698
07,1,Fatigue1,213
07,2,Fatigue2,169
07,3,Fatigue3,0
07,4,Fatigue4,0
07,8,Signal Abnormality,0
07,9,Severe Artifacts,0
08,0,Wakefulness,7059
08,1,Fatigue1,21
08,2,Fatigue2,0
08,3,Fatigue3,0
08,4,Fatigue4,0
08,8,Signal Abnormality,0
08,9,Severe Artifacts,0
09,0,Wakefulness,1807
09,1,Fatigue1,4064
09,2,Fatigue2,1209
09,3,Fatigue3,0
09,4,Fatigue4,0
09,8,Signal Abnormality,0
09,9,Severe Artifacts,0
10,0,Wakefulness,5904
10,1,Fatigue1,1051
10,2,Fatigue2,125
10,3,Fatigue3,0
10,4,Fatigue4,0
10,8,Signal Abnormality,0
10,9,Severe Artifacts,0
11,0,Wakefulness,5754
11,1,Fatigue1,1219
11,2,Fatigue2,107
11,3,Fatigue3,0
11,4,Fatigue4,0
11,8,Signal Abnormality,0
11,9,Severe Artifacts,0
12,0,Wakefulness,6756
12,1,Fatigue1,41
12,2,Fatigue2,283
12,3,Fatigue3,0
12,4,Fatigue4,0
12,8,Signal Abnormality,0
12,9,Severe Artifacts,0
13,0,Wakefulness,3636
13,1,Fatigue1,3298
13,2,Fatigue2,146
13,3,Fatigue3,0
13,4,Fatigue4,0
13,8,Signal Abnormality,0
13,9,Severe Artifacts,0
14,0,Wakefulness,6864
14,1,Fatigue1,216
14,2,Fatigue2,0
14,3,Fatigue3,0
14,4,Fatigue4,0
14,8,Signal Abnormality,0
14,9,Severe Artifacts,0
15,0,Wakefulness,4080
15,1,Fatigue1,2764
15,2,Fatigue2,236
15,3,Fatigue3,0
15,4,Fatigue4,0
15,8,Signal Abnormality,0
15,9,Severe Artifacts,0
16,0,Wakefulness,6642
16,1,Fatigue1,438
16,2,Fatigue2,0
16,3,Fatigue3,0
16,4,Fatigue4,0
16,8,Signal Abnormality,0
16,9,Severe Artifacts,0
17,0,Wakefulness,4146
17,1,Fatigue1,2328
17,2,Fatigue2,606
17,3,Fatigue3,0
17,4,Fatigue4,0
17,8,Signal Abnormality,0
17,9,Severe Artifacts,0
18,0,Wakefulness,6988
18,1,Fatigue1,92
18,2,Fatigue2,0
18,3,Fatigue3,0
18,4,Fatigue4,0
18,8,Signal Abnormality,0
18,9,Severe Artifacts,0
19,0,Wakefulness,6565
19,1,Fatigue1,111
19,2,Fatigue2,239
19,3,Fatigue3,165
19,4,Fatigue4,0
19,8,Signal Abnormality,0
19,9,Severe Artifacts,0
20,0,Wakefulness,7045
20,1,Fatigue1,35
20,2,Fatigue2,0
20,3,Fatigue3,0
20,4,Fatigue4,0
20,8,Signal Abnormality,0
20,9,Severe Artifacts,0
21,0,Wakefulness,6874
21,1,Fatigue1,0
21,2,Fatigue2,0
21,3,Fatigue3,0
21,4,Fatigue4,0
21,8,Signal Abnormality,0
21,9,Severe Artifacts,206
22,0,Wakefulness,0
22,1,Fatigue1,1657
22,2,Fatigue2,5423
22,3,Fatigue3,0
22,4,Fatigue4,0
22,8,Signal Abnormality,0
22,9,Severe Artifacts,0
23,0,Wakefulness,7080
23,1,Fatigue1,0
23,2,Fatigue2,0
23,3,Fatigue3,0
23,4,Fatigue4,0
23,8,Signal Abnormality,0
23,9,Severe Artifacts,0
24,0,Wakefulness,7080
24,1,Fatigue1,0
24,2,Fatigue2,0
24,3,Fatigue3,0
24,4,Fatigue4,0
24,8,Signal Abnormality,0
24,9,Severe Artifacts,0
25,0,Wakefulness,3560
25,1,Fatigue1,3240
25,2,Fatigue2,280
25,3,Fatigue3,0
25,4,Fatigue4,0
25,8,Signal Abnormality,0
25,9,Severe Artifacts,0
26,0,Wakefulness,6546
26,1,Fatigue1,534
26,2,Fatigue2,0
26,3,Fatigue3,0
26,4,Fatigue4,0
26,8,Signal Abnormality,0
26,9,Severe Artifacts,0
27,0,Wakefulness,7080
27,1,Fatigue1,0
27,2,Fatigue2,0
27,3,Fatigue3,0
27,4,Fatigue4,0
27,8,Signal Abnormality,0
27,9,Severe Artifacts,0
28,0,Wakefulness,7080
28,1,Fatigue1,0
28,2,Fatigue2,0
28,3,Fatigue3,0
28,4,Fatigue4,0
28,8,Signal Abnormality,0
28,9,Severe Artifacts,0
29,0,Wakefulness,6913
29,1,Fatigue1,167
29,2,Fatigue2,0
29,3,Fatigue3,0
29,4,Fatigue4,0
29,8,Signal Abnormality,0
29,9,Severe Artifacts,0
30,0,Wakefulness,4710
30,1,Fatigue1,887
30,2,Fatigue2,890
30,3,Fatigue3,0
