subject,start_sec,end_sec,duration_sec,label,label_name
01,0,369,369,0,Wakefulness
01,369,429,60,1,Fatigue1
01,429,1629,1200,0,Wakefulness
01,1629,1719,90,1,Fatigue1
01,1719,2829,1110,0,Wakefulness
01,2829,2921,92,1,Fatigue1
01,2921,5229,2308,0,Wakefulness
01,5229,5303,74,1,Fatigue1
01,5303,5349,46,0,Wakefulness
01,5349,5649,300,1,Fatigue1
01,5649,5799,150,0,Wakefulness
01,5799,5829,30,1,Fatigue1
01,5829,7202,1373,0,Wakefulness
02,0,684,684,0,Wakefulness
02,684,714,30,1,Fatigue1
02,714,774,60,0,Wakefulness
02,774,924,150,1,Fatigue1
02,924,1104,180,0,Wakefulness
02,1104,1344,240,1,Fatigue1
02,1344,2875,1531,0,Wakefulness
02,2875,3054,179,1,Fatigue1
02,3054,3384,330,0,Wakefulness
02,3384,3564,180,1,Fatigue1
02,3564,3804,240,0,Wakefulness
02,3804,3985,181,1,Fatigue1
02,3985,4105,120,2,Fatigue2
02,4105,4135,30,0,Wakefulness
02,4135,4254,119,1,Fatigue1
02,4254,4285,31,0,Wakefulness
02,4285,4345,60,1,Fatigue1
02,4345,4499,154,2,Fatigue2
02,4499,4675,176,0,Wakefulness
02,4675,4735,60,1,Fatigue1
02,4735,4795,60,0,Wakefulness
02,4795,4885,90,1,Fatigue1
02,4885,4945,60,0,Wakefulness
02,4945,5036,91,1,Fatigue1
02,5036,5086,50,0,Wakefulness
02,5086,5125,39,1,Fatigue1
02,5125,5185,60,0,Wakefulness
02,5185,5275,90,1,Fatigue1
02,5275,5323,48,0,Wakefulness
02,5323,5384,61,1,Fatigue1
02,5384,5396,12,0,Wakefulness
02,5396,5454,58,2,Fatigue2
02,5454,5497,43,1,Fatigue1
02,5497,5587,90,2,Fatigue2
02,5587,5635,48,0,Wakefulness
02,5635,5715,80,1,Fatigue1
02,5715,5816,101,0,Wakefulness
02,5816,5846,30,1,Fatigue1
02,5846,6015,169,0,Wakefulness
02,6015,6025,10,1,Fatigue1
02,6025,6050,25,0,Wakefulness
02,6050,6059,9,1,Fatigue1
02,6059,6166,107,0,Wakefulness
02,6166,6208,42,1,Fatigue1
02,6208,6236,28,0,Wakefulness
02,6236,6290,54,1,Fatigue1
02,6290,6507,217,0,Wakefulness
02,6507,6558,51,1,Fatigue1
02,6558,6824,266,0,Wakefulness
02,6824,6866,42,1,Fatigue1
02,6866,7202,336,0,Wakefulness
03,0,656,656,0,Wakefulness
03,656,716,60,1,Fatigue1
03,716,2636,1920,0,Wakefulness
03,2636,2817,181,1,Fatigue1
03,2817,3208,391,0,Wakefulness
03,3208,3475,267,1,Fatigue1
03,3475,4556,1081,0,Wakefulness
03,4556,4646,90,1,Fatigue1
03,4646,5756,1110,0,Wakefulness
03,5756,5848,92,1,Fatigue1
03,5848,7076,1228,0,Wakefulness
03,7076,7204,128,1,Fatigue1
04,0,23,23,1,Fatigue1
04,23,239,216,0,Wakefulness
04,239,596,357,1,Fatigue1
04,596,954,358,0,Wakefulness
04,954,1415,461,1,Fatigue1
04,1415,1444,29,2,Fatigue2
04,1444,1523,79,1,Fatigue1
04,1523,1554,31,0,Wakefulness
04,1554,1932,378,1,Fatigue1
04,1932,2253,321,2,Fatigue2
04,2253,2306,53,0,Wakefulness
04,2306,2633,327,1,Fatigue1
04,2633,2796,163,2,Fatigue2
04,2796,2843,47,0,Wakefulness
04,2843,2873,30,1,Fatigue1
04,2873,3115,242,2,Fatigue2
04,3115,3233,118,1,Fatigue1
04,3233,4104,871,2,Fatigue2
04,4104,4147,43,1,Fatigue1
04,4147,4674,527,2,Fatigue2
04,4674,4763,89,3,Fatigue3
04,4763,4793,30,2,Fatigue2
04,4793,4830,37,3,Fatigue3
04,4830,5020,190,2,Fatigue2
04,5020,5051,31,3,Fatigue3
04,5051,5155,104,0,Wakefulness
04,5155,5183,28,1,Fatigue1
04,5183,5213,30,2,Fatigue2
04,5213,5454,241,1,Fatigue1
04,5454,5903,449,0,Wakefulness
04,5903,6045,142,1,Fatigue1
04,6045,6264,219,0,Wakefulness
04,6264,6325,61,1,Fatigue1
04,6325,6534,209,0,Wakefulness
04,6534,6550,16,1,Fatigue1
04,6550,6827,277,0,Wakefulness
04,6827,6867,40,1,Fatigue1
04,6867,6941,74,0,Wakefulness
04,6941,6985,44,1,Fatigue1
04,6985,7194,209,0,Wakefulness
05,0,593,593,0,Wakefulness
05,593,685,92,1,Fatigue1
05,685,744,59,0,Wakefulness
05,744,1166,422,1,Fatigue1
05,1166,1555,389,0,Wakefulness
05,1555,1600,45,1,Fatigue1
05,1600,2094,494,9,Severe Artifacts
05,2094,2427,333,0,Wakefulness
05,2427,3752,1325,1,Fatigue1
05,3752,7201,3449,9,Severe Artifacts
06,0,1526,1526,0,Wakefulness
06,1526,1616,90,1,Fatigue1
06,1616,2065,449,0,Wakefulness
06,2065,2098,33,1,Fatigue1
06,2098,2576,478,0,Wakefulness
06,2576,2736,160,1,Fatigue1
06,2736,2816,80,0,Wakefulness
06,2816,2996,180,1,Fatigue1
06,2996,3086,90,0,Wakefulness
06,3086,3206,120,1,Fatigue1
06,3206,3253,47,0,Wakefulness
06,3253,3295,42,1,Fatigue1
06,3295,3614,319,0,Wakefulness
06,3614,3685,71,1,Fatigue1
06,3685,3776,91,0,Wakefulness
06,3776,4137,361,1,Fatigue1
06,4137,4197,60,2,Fatigue2
06,4197,4229,32,0,Wakefulness
06,4229,4436,207,1,Fatigue1
06,4436,4536,100,0,Wakefulness
06,4536,4550,14,1,Fatigue1
06,4550,4615,65,0,Wakefulness
06,4615,4708,93,1,Fatigue1
06,4708,5876,1168,0,Wakefulness
06,5876,5907,31,1,Fatigue1
06,5907,6895,988,0,Wakefulness
06,6895,6957,62,1,Fatigue1
06,6957,7202,245,0,Wakefulness
07,0,4377,4377,0,Wakefulness
07,4377,4590,213,1,Fatigue1
07,4590,4688,98,2,Fatigue2
07,4688,4737,49,0,Wakefulness
07,4737,4808,71,2,Fatigue2
