subject,aligned_start_sec,eeg_start_sec,duration_sec,selection_rule,normalization_scope
01,0,21,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
02,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
03,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
04,0,8,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
05,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
06,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
07,0,4,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
08,0,4,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
09,0,4,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
10,0,11,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
11,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
12,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
13,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
14,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
15,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
16,0,8,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
17,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
18,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
19,0,8,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
20,0,9,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
21,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
22,0,11,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
23,0,0,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
24,0,0,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
25,0,9,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
26,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
27,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
28,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
29,0,1,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
30,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
31,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
32,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
33,0,0,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
34,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
35,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
36,0,1,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
37,0,10,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
38,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
39,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
40,0,17,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
41,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
42,0,1,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
43,0,4,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
44,0,6,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
45,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
46,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
47,0,5,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
48,0,16,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
49,0,8,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
50,0,7,10,first_10s_after_official_alignment,per_selected_10s_channel_inferred
