subject,label,label_name,channel,power_v2,n_30s_segments
10,0,Wakefulness,Fp1,1.905345299166546e-09,180
10,0,Wakefulness,Fz,2.934286183754792e-11,180
10,0,Wakefulness,F3,9.716366144152588e-11,180
10,0,Wakefulness,F7,3.304632335195446e-10,180
10,0,Wakefulness,FT9,1.8118577066720887e-10,180
10,0,Wakefulness,FC5,1.2839031165384146e-10,180
10,0,Wakefulness,FC1,8.846340152385427e-12,180
10,0,Wakefulness,C3,4.3812310946035775e-11,180
10,0,Wakefulness,T7,1.8999677625140817e-10,180
10,0,Wakefulness,TP9,2.3781944590395473e-10,180
10,0,Wakefulness,CP5,9.785738236240911e-11,180
10,0,Wakefulness,CP1,5.072256470311983e-11,180
10,0,Wakefulness,Pz,9.202124647823665e-11,180
10,0,Wakefulness,P3,1.0935316954098538e-10,180
10,0,Wakefulness,P7,1.7515366161020232e-10,180
10,0,Wakefulness,O1,2.0088548037331979e-10,180
10,0,Wakefulness,Oz,1.9730933799731813e-10,180
10,0,Wakefulness,O2,1.9796425189038356e-10,180
10,0,Wakefulness,P4,1.1333002080904542e-10,180
10,0,Wakefulness,P8,1.6491271731646316e-10,180
10,0,Wakefulness,TP10,2.432168540319567e-10,180
10,0,Wakefulness,CP6,1.0790217634662675e-10,180
10,0,Wakefulness,CP2,5.3615944855815204e-11,180
10,0,Wakefulness,Cz,2.387091331660502e-11,180
10,0,Wakefulness,C4,5.683919293833058e-11,180
10,0,Wakefulness,T8,2.4490144507216027e-10,180
10,0,Wakefulness,FT10,2.1292165664503666e-10,180
10,0,Wakefulness,FC6,1.8527508814396465e-10,180
10,0,Wakefulness,FC2,1.2183763804129649e-11,180
10,0,Wakefulness,F4,8.625091693661029e-11,180
10,0,Wakefulness,F8,3.2473177818374975e-10,180
10,0,Wakefulness,Fp2,1.5936163840818964e-09,180
10,1,Fatigue1,Fp1,1.3846856521621986e-09,19
10,1,Fatigue1,Fz,2.522824740362483e-11,19
10,1,Fatigue1,F3,1.7313220151560724e-10,19
10,1,Fatigue1,F7,2.5039185976848824e-10,19
10,1,Fatigue1,FT9,1.5950004486206958e-10,19
10,1,Fatigue1,FC5,9.758513477495804e-11,19
10,1,Fatigue1,FC1,9.151659135783903e-12,19
10,1,Fatigue1,C3,4.0408838332000404e-11,19
10,1,Fatigue1,T7,1.4960168812885468e-10,19
10,1,Fatigue1,TP9,2.17114634484903e-10,19
10,1,Fatigue1,CP5,9.802021625875948e-11,19
10,1,Fatigue1,CP1,5.220759470214059e-11,19
