strategy,window_sec,stride_sec,label,observed,paper,difference
1s,1,1,0,268404,266718,1686
1s,1,1,1,60890,60292,598
1s,1,1,2,14351,14789,-438
1s,1,1,3,760,760,0
1s,1,1,4,0,0,0
1s,1,1,binary_wakefulness,268404,266718,1686
1s,1,1,binary_fatigue,76001,75841,160
10s_no_overlap,10,10,0,26473,26716,-243
10s_no_overlap,10,10,1,5650,5994,-344
10s_no_overlap,10,10,2,1347,1469,-122
10s_no_overlap,10,10,3,68,75,-7
10s_no_overlap,10,10,4,0,0,0
10s_no_overlap,10,10,binary_wakefulness,26473,26716,-243
10s_no_overlap,10,10,binary_fatigue,7065,7538,-473
10s_5s_overlap,10,5,0,52896,53403,-507
10s_5s_overlap,10,5,1,11345,11968,-623
10s_5s_overlap,10,5,2,2704,2936,-232
10s_5s_overlap,10,5,3,131,152,-21
10s_5s_overlap,10,5,4,0,0,0
10s_5s_overlap,10,5,binary_wakefulness,52896,53403,-507
10s_5s_overlap,10,5,binary_fatigue,14180,15056,-876
